X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
604561.7001,4785700.0407,267,Cushion,Beside of property 102 Juniper Dr
604584.8137,4785779.5513,268,Cushion,193_197 Dewitt Rd
604613.7464,4785880.7639,269,Cushion,207_209 Dewitt Rd
604703.8493,4786195.022,270,Cushion,251_253 Dewitt Rd
604746.8608,4786344.841,271,Cushion,273 - 274 Dewitt Rd
604775.3586,4786442.1424,272,Cushion,285 - 288 Dewitt Rd
588540.3034,4779530.1059,273,Cushion,2942 Homestead Dr
588472.6207,4779366.6961,274,Cushion,2990 Homestead Dr
588415.402,4779227.5456,275,Cushion,3026 Homestead Dr
588335.8975,4779014.0458,276,Cushion,3091 Homestead Dr
588277.7633,4778847.7636,277,Cushion,3136 Homestead Dr
588210.0124,4778637.9894,278,Cushion,3229 Homestead Dr
588168.2268,4778504.2495,279,Cushion,3266 Homestead Dr
588114.6811,4778326.7063,280,Cushion,3314 Homestead Dr
588002.115,4777999.4366,281,Cushion,3400_3414 Homestead Dr
593924.7584,4789279.3017,282,Cushion,28 Fairleigh Ave
593644.4981,4790401.6488,283,Cushion,45 William St
595086.4046,4786060.9387,284,Cushion,27 Broker Drive
595250.449,4786031.3221,285,Cushion,65 Broker Drive
595446.9581,4785969.8174,286,Cushion,106 Broker Drive
595533.2216,4785942.5657,287,Cushion,124 Broker Drive
595725.7415,4785856.2601,288,Cushion,170 Broker Drive
591193.9264,4789641.7057,289,Cushion,130 Bold Street - In front of #130/#132
588450.6464,4790199.1537,290,Cushion,30 Cline Avenue South
593866.9884,4784956.37,291,Cushion,63 Birchview Drive
593956.0421,4784808.5669,292,Cushion,107 Birchview Drive
594805.0897,4789088.8562,293,Cushion,37/38 Prospect Street South
590014.4816,4787778.6352,294,Cushion,74-76/73-75 Delmar Drive
594748.392,4788899.2436,295,Cushion,97/100 Prospect Street South
589842.291,4787665.8743,296,Cushion,25/26 Delmar Drive
594589.8733,4788963.8323,297,Cushion,97/98 Spadina Avenue
594655.0467,4788713.7917,298,Cushion,162-159/167 Prospect Street South
